Distance,Bottom_D,Wind_Spd,Depthm,T_degC,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM,DarkAs,MeanAs,R_DYNHT,R_Nuts,Salnty
-169.305,3801.0,2.0,125,9.85,4.42,25.696,69.0,192.452,0.02,0.05,1.51,17.4,0.01,18.4,0.0,0.09,0.06,0.391,0.0,33.356
-169.305,3801.0,2.0,130,10.05,4.22,25.781,66.2,183.7285,0.02,0.05,1.55,18.2,0.01,19.2,0.0,0.1,0.03,0.402,0.0,33.507
-2.039,69.0,3.0,0,16.78,6.02,24.315,108.6,262.4712,0.66,0.16,0.34,2.8,0.0,0.2,0.27,0.3,18.4,0.0,0.27,33.369
-2.039,69.0,3.0,2,16.78,6.02,24.315,108.6,262.4712,0.66,0.16,0.34,2.8,0.0,0.2,0.27,0.3,18.4,0.007,0.27,33.369
-2.039,69.0,3.0,10,16.27,6.08,24.415,108.5,265.0613,0.76,0.39,0.34,2.7,0.0,0.1,0.44,0.34,24.8,0.036,0.44,33.345
-2.039,69.0,3.0,11,15.91,6.08,24.499,107.8,265.0396,0.79,0.44,0.34,2.7,0.0,0.1,0.42,0.35,25.6,0.039,0.42,33.348
-2.039,69.0,3.0,20,15.0,6.11,24.648,106.3,266.3086,1.02,0.46,0.38,3.2,0.02,0.2,0.31,0.33,18.7,0.069,0.31,33.28
-2.039,69.0,3.0,22,14.72,6.12,24.697,105.8,266.7317,1.04,0.47,0.39,3.4,0.03,0.2,0.3,0.33,16.1,0.076,0.3,33.266
-2.039,69.0,3.0,30,13.67,5.77,24.901,97.7,251.4274,0.76,0.32,0.55,4.7,0.17,1.9,0.31,0.17,7.1,0.101,0.31,33.245
-2.039,69.0,3.0,34,13.49,5.55,24.935,93.6,241.8329,0.6,0.25,0.65,5.5,0.25,3.1,0.31,0.09,3.3,0.113,0.31,33.242
-2.039,69.0,3.0,42,13.17,5.19,25.013,86.9,226.1292,0.55,0.29,0.8,7.1,0.39,5.4,0.36,0.09,1.0,0.137,0.36,33.26
-2.039,69.0,3.0,50,12.88,5.07,25.079,84.4,220.8866,0.44,0.28,0.86,7.7,0.38,6.8,0.3,0.07,0.65,0.161,0.3,33.271
-2.039,69.0,3.0,62,12.76,4.93,25.105,81.9,214.7817,0.35,0.28,0.92,8.3,0.38,7.5,0.27,0.05,0.12,0.195,0.27,33.273
-74.696,1340.0,10.0,0,18.41,5.51,24.028,102.6,240.3026,0.35,0.02,0.32,1.4,0.0,0.1,0.2,0.11,3.7,0.0,0.2,33.505
-74.696,1340.0,10.0,1,18.41,5.51,24.028,102.6,240.3026,0.35,0.02,0.32,1.4,0.0,0.1,0.2,0.11,3.7,0.004,0.2,33.505
-74.696,1340.0,10.0,10,18.39,5.52,24.034,102.8,240.7373,0.35,0.02,0.3,1.5,0.0,0.0,0.06,0.12,4.9,0.039,0.06,33.506
-74.696,1340.0,10.0,16,18.38,5.52,24.035,102.7,240.7371,0.35,0.07,0.29,1.4,0.0,0.0,0.06,0.13,5.8,0.062,0.06,33.504
-74.696,1340.0,10.0,20,18.38,5.53,24.036,102.9,241.173,0.34,0.06,0.29,1.3,0.0,0.0,0.08,0.13,5.3,0.077,0.08,33.505
-74.696,1340.0,10.0,30,18.37,5.52,24.039,102.7,240.7361,0.35,0.05,0.29,1.3,0.0,0.0,0.08,0.13,4.3,0.116,0.08,33.505
-74.696,1340.0,10.0,33,18.37,5.52,24.039,102.7,240.7361,0.37,0.05,0.29,1.3,0.0,0.0,0.07,0.13,4.0,0.128,0.07,33.505
-74.696,1340.0,10.0,49,14.09,6.27,24.816,107.0,273.2375,1.42,0.46,0.42,3.2,0.0,0.1,0.07,0.2,7.7,0.186,0.07,33.247
-74.696,1340.0,10.0,50,13.5,6.16,24.94,103.9,268.4114,1.34,0.46,0.48,3.7,0.02,1.0,0.06,0.19,7.3,0.19,0.06,33.251
-74.696,1340.0,10.0,63,11.89,4.89,25.311,79.8,212.9962,0.3,0.4,1.04,9.1,0.07,10.7,0.0,0.06,1.2,0.226,0.0,33.325
-74.696,1340.0,10.0,75,11.19,4.4,25.539,70.8,191.6105,0.15,0.18,1.28,12.9,0.01,14.9,0.0,0.05,0.68,0.257,0.0,33.453
-74.696,1340.0,10.0,90,10.67,3.87,25.716,61.6,168.501,0.06,0.08,1.51,16.7,0.0,18.6,0.0,0.03,0.03,0.292,0.0,33.562
-174.331,3945.0,21.0,0,16.27,5.73,24.47,102.3,249.7895,0.7,0.22,0.37,1.6,0.01,0.2,0.03,0.09,0.74,0.0,0.03,33.418
-174.331,3945.0,21.0,2,16.27,5.73,24.471,102.3,249.7892,0.7,0.22,0.37,1.6,0.01,0.2,0.03,0.09,0.74,0.007,0.03,33.418
-174.331,3945.0,21.0,8,16.27,5.74,24.471,102.5,250.2251,0.71,0.23,0.37,1.6,0.01,0.1,0.03,0.09,13.1,0.028,0.03,33.418
-174.331,3945.0,21.0,10,16.27,5.75,24.472,102.7,250.6608,0.72,0.23,0.37,1.6,0.01,0.1,0.04,0.09,12.3,0.035,0.04,33.419
-174.331,3945.0,21.0,15,16.27,5.76,24.471,102.9,251.097,0.74,0.24,0.36,1.6,0.0,0.1,0.06,0.09,10.2,0.052,0.06,33.418
-174.331,3945.0,21.0,20,16.27,5.75,24.472,102.7,250.6608,0.74,0.21,0.36,1.5,0.0,0.1,0.04,0.1,7.0,0.069,0.04,33.419
-174.331,3945.0,21.0,22,16.27,5.74,24.473,102.5,250.2246,0.74,0.19,0.36,1.5,0.0,0.1,0.03,0.1,5.7,0.076,0.03,33.42
-174.331,3945.0,21.0,29,16.27,5.73,24.478,102.3,249.7875,0.79,0.16,0.35,1.5,0.0,0.1,0.06,0.07,2.4,0.1,0.06,33.426
-174.331,3945.0,21.0,30,16.27,5.73,24.472,102.3,249.789,0.79,0.16,0.35,1.5,0.0,0.1,0.06,0.07,2.2,0.104,0.06,33.418
-174.331,3945.0,21.0,39,16.27,5.72,24.475,102.1,249.3523,0.7,0.21,0.35,1.6,0.01,0.1,0.06,0.08,0.26,0.135,0.06,33.422
-333.513,3978.0,16.0,0,17.95,5.5,23.922,101.4,239.8913,0.18,0.01,0.36,1.4,0.0,0.1,0.0,0.17,1.5,0.0,0.0,33.219
-333.513,3978.0,16.0,2,17.95,5.5,23.922,101.4,239.8913,0.18,0.01,0.36,1.4,0.0,0.1,0.0,0.17,1.5,0.008,0.0,33.219
-333.513,3978.0,16.0,10,17.95,5.5,23.923,101.4,239.8911,0.16,0.03,0.35,1.3,0.0,0.0,0.0,0.18,2.0,0.04,0.0,33.22
-333.513,3978.0,16.0,16,17.96,5.51,23.939,101.6,240.3235,0.15,0.04,0.35,1.3,0.0,0.0,0.0,0.19,2.4,0.064,0.0,33.244
-333.513,3978.0,16.0,20,17.96,5.51,23.923,101.6,240.3273,0.16,0.03,0.35,1.3,0.0,0.0,0.0,0.17,2.3,0.079,0.0,33.223
-333.513,3978.0,16.0,30,17.96,5.52,23.928,101.7,240.7622,0.19,0.02,0.35,1.4,0.0,0.0,0.0,0.11,2.0,0.119,0.0,33.229
-333.513,3978.0,16.0,34,17.99,5.52,23.993,101.9,240.747,0.2,0.01,0.35,1.5,0.0,0.0,0.0,0.08,1.8,0.135,0.0,33.323
-333.513,3978.0,16.0,50,14.66,6.18,24.596,106.6,269.3733,0.28,0.18,0.35,2.4,0.0,0.0,0.05,0.05,1.5,0.195,0.05,33.117
-333.513,3978.0,16.0,62,13.59,5.96,24.803,100.6,259.7315,0.29,0.19,0.4,2.9,0.05,0.1,0.04,0.21,0.77,0.234,0.04,33.097
-333.513,3978.0,16.0,75,12.82,5.82,24.928,96.7,253.5995,0.22,0.19,0.5,3.5,0.18,1.1,0.0,0.12,0.49,0.274,0.0,33.06
-333.513,3978.0,16.0,89,11.99,5.64,25.065,92.0,245.7233,0.15,0.14,0.7,5.2,0.04,4.6,0.0,0.02,0.19,0.316,0.0,33.031
-130.263,4241.0,4.0,0,13.55,6.14,24.677,103.5,267.6086,1.03,0.23,0.41,3.6,0.03,0.5,0.06,0.08,3.4,0.0,0.06,32.925
-130.263,4241.0,4.0,2,13.55,6.14,24.677,103.5,267.6086,1.03,0.23,0.41,3.6,0.03,0.5,0.06,0.08,3.4,0.007,0.06,32.925
-130.263,4241.0,4.0,8,13.55,6.13,24.676,103.3,267.173,1.0,0.25,0.41,3.6,0.03,0.5,0.07,0.09,14.9,0.026,0.07,32.924
-130.263,4241.0,4.0,10,13.54,6.13,24.68,103.3,267.172,1.01,0.25,0.41,3.6,0.03,0.5,0.07,0.09,13.9,0.033,0.07,32.926
-130.263,4241.0,4.0,16,13.54,6.13,24.679,103.3,267.1723,1.06,0.26,0.4,3.6,0.03,0.5,0.08,0.08,10.9,0.052,0.08,32.925
-130.263,4241.0,4.0,20,13.54,6.13,24.686,103.3,267.1704,1.06,0.26,0.4,3.6,0.03,0.5,0.08,0.08,8.2,0.065,0.08,32.934
-130.263,4241.0,4.0,25,13.53,6.13,24.694,103.3,267.1683,1.06,0.27,0.4,3.5,0.03,0.5,0.08,0.07,5.0,0.081,0.08,32.941
-130.263,4241.0,4.0,30,13.5,6.11,24.735,102.9,266.286,0.93,0.28,0.42,3.7,0.05,0.8,0.07,0.06,2.6,0.098,0.07,32.987
-130.263,4241.0,4.0,32,13.48,6.09,24.753,102.5,265.4097,0.86,0.28,0.43,3.8,0.06,0.9,0.06,0.05,1.9,0.104,0.06,33.004
-130.263,4241.0,4.0,47,13.15,5.86,24.856,98.0,255.3604,0.31,0.2,0.54,4.2,0.19,2.3,0.09,0.02,0.15,0.151,0.09,33.052
-78.383,3635.0,10.0,0,13.83,5.99,24.727,101.6,261.0582,0.73,0.21,0.46,3.4,0.07,0.9,0.08,0.07,6.9,0.0,0.08,33.064
-78.383,3635.0,10.0,2,13.83,5.99,24.727,101.6,261.0582,0.73,0.21,0.46,3.4,0.07,0.9,0.08,0.07,6.9,0.006,0.08,33.064
-78.383,3635.0,10.0,10,13.74,6.01,24.744,101.8,261.9255,0.77,0.22,0.45,3.3,0.07,0.8,0.05,0.1,8.9,0.032,0.05,33.062
-78.383,3635.0,10.0,11,13.74,6.01,24.744,101.8,261.9255,0.77,0.22,0.45,3.3,0.07,0.8,0.05,0.1,9.2,0.035,0.05,33.062
-78.383,3635.0,10.0,20,13.73,5.99,24.753,101.4,261.0516,0.74,0.25,0.46,3.4,0.08,0.9,0.05,0.09,7.8,0.064,0.05,33.071
-78.383,3635.0,10.0,24,13.74,5.98,24.776,101.3,260.6099,0.73,0.26,0.46,3.5,0.08,1.0,0.05,0.08,6.4,0.077,0.05,33.102
-78.383,3635.0,10.0,30,13.7,5.94,24.795,100.5,258.8619,0.64,0.23,0.46,3.5,0.09,1.0,0.07,0.05,4.0,0.096,0.07,33.117
-78.383,3635.0,10.0,35,13.7,5.91,24.796,100.0,257.5543,0.55,0.21,0.47,3.5,0.1,1.1,0.08,0.03,2.2,0.111,0.08,33.117
-78.383,3635.0,10.0,45,13.64,5.86,24.807,99.0,255.3726,0.41,0.2,0.49,3.5,0.11,1.4,0.08,0.02,1.3,0.143,0.08,33.116
-78.383,3635.0,10.0,50,13.63,5.87,24.811,99.2,255.8074,0.4,0.2,0.49,3.6,0.12,1.4,0.08,0.02,1.0,0.159,0.08,33.118
-78.383,3635.0,10.0,65,13.41,5.79,24.856,97.4,252.31,0.26,0.15,0.53,3.7,0.17,2.1,0.08,0.01,0.09,0.205,0.08,33.118
-198.069,4365.0,10.0,0,14.84,5.84,24.456,101.1,254.5882,0.32,0.19,0.35,2.0,0.0,0.0,0.0,0.07,2.7,0.0,0.0,32.988
-198.069,4365.0,10.0,2,14.84,5.84,24.456,101.1,254.5882,0.32,0.19,0.35,2.0,0.0,0.0,0.0,0.07,2.7,0.007,0.0,32.988
-198.069,4365.0,10.0,10,14.82,5.84,24.461,101.0,254.587,0.38,0.13,0.34,2.3,0.0,0.0,0.0,0.08,3.9,0.035,0.0,32.988
-198.069,4365.0,10.0,16,14.82,5.85,24.463,101.2,255.0224,0.4,0.13,0.34,2.3,0.0,0.0,0.0,0.08,4.8,0.055,0.0,32.99
-198.069,4365.0,10.0,20,14.82,5.86,24.463,101.4,255.4583,0.41,0.13,0.34,2.2,0.0,0.0,0.03,0.08,4.7,0.069,0.03,32.99
-198.069,4365.0,10.0,30,14.82,5.85,24.464,101.2,255.0221,0.41,0.13,0.33,2.2,0.0,0.0,0.02,0.08,3.9,0.104,0.02,32.991
-198.069,4365.0,10.0,33,14.82,5.84,24.466,101.0,254.5857,0.41,0.13,0.33,2.2,0.0,0.0,0.0,0.08,3.5,0.114,0.0,32.994
-198.069,4365.0,10.0,50,14.76,5.84,24.47,100.9,254.5847,0.41,0.14,0.34,2.0,0.0,0.0,0.0,0.05,1.8,0.173,0.0,32.981
-198.069,4365.0,10.0,51,14.81,5.84,24.468,101.0,254.5852,0.41,0.14,0.34,2.0,0.0,0.0,0.0,0.05,1.7,0.177,0.0,32.992
-198.069,4365.0,10.0,64,14.54,5.8,24.495,99.7,252.8348,0.34,0.18,0.36,2.4,0.03,0.2,0.0,0.02,0.85,0.222,0.0,32.953
-198.069,4365.0,10.0,75,14.27,5.79,24.552,99.0,252.3848,0.21,0.13,0.4,2.5,0.09,0.7,0.04,0.02,0.56,0.259,0.04,32.952
-198.069,4365.0,10.0,94,13.03,5.82,24.805,97.0,253.6299,0.12,0.1,0.52,3.7,0.1,2.2,0.0,0.01,0.07,0.322,0.0,32.954
-6.019,37.0,6.0,0,14.68,5.65,24.736,97.7,246.2381,0.85,0.42,0.5,3.6,0.3,1.0,0.46,0.05,4.0,0.0,0.46,33.306
-6.019,37.0,6.0,2,14.68,5.65,24.736,97.7,246.2381,0.85,0.42,0.5,3.6,0.3,1.0,0.46,0.05,4.0,0.006,0.46,33.306
-6.019,37.0,6.0,4,14.68,5.66,24.739,97.8,246.6731,0.91,0.38,0.52,3.6,0.3,1.0,0.5,0.06,19.7,0.013,0.5,33.31
-6.019,37.0,6.0,8,14.68,5.65,24.735,97.7,246.2383,0.84,0.41,0.5,3.7,0.3,1.0,0.52,0.06,13.3,0.026,0.52,33.305
-6.019,37.0,6.0,10,14.68,5.65,24.735,97.7,246.2383,0.84,0.42,0.5,3.7,0.3,1.0,0.56,0.06,9.6,0.032,0.56,33.305
-6.019,37.0,6.0,13,14.68,5.64,24.742,97.5,245.8008,0.84,0.44,0.5,3.7,0.31,1.0,0.61,0.05,5.0,0.042,0.61,33.313
-6.019,37.0,6.0,16,14.68,5.67,24.735,98.0,247.1099,0.84,0.39,0.52,3.6,0.31,1.0,0.59,0.04,3.6,0.051,0.59,33.305
-6.019,37.0,6.0,20,14.68,5.65,24.736,97.7,246.2381,0.83,0.39,0.51,3.6,0.31,1.0,0.58,0.05,1.8,0.064,0.58,33.305
-6.019,37.0,6.0,23,14.68,5.63,24.736,97.3,245.3664,0.82,0.39,0.51,3.7,0.31,1.0,0.57,0.06,0.43,0.074,0.57,33.305
-83.561,1516.0,12.0,0,14.06,5.95,24.768,101.5,259.3045,0.73,0.21,0.44,3.2,0.08,0.9,0.0,0.06,11.3,0.0,0.0,33.179
-83.561,1516.0,12.0,3,14.06,5.95,24.768,101.5,259.3045,0.73,0.21,0.44,3.2,0.08,0.9,0.0,0.06,11.3,0.01,0.0,33.179
-83.561,1516.0,12.0,10,13.97,5.91,24.811,100.6,257.5505,0.76,0.24,0.45,3.3,0.1,1.0,0.0,0.06,7.6,0.032,0.0,33.21
-83.561,1516.0,12.0,20,13.76,5.92,24.839,100.4,257.9792,0.73,0.28,0.46,3.4,0.12,1.1,0.0,0.04,3.7,0.063,0.0,33.19
-83.561,1516.0,12.0,22,13.76,5.92,24.841,100.4,257.9788,0.72,0.28,0.46,3.4,0.12,1.1,0.0,0.03,3.1,0.069,0.0,33.192
-83.561,1516.0,12.0,30,13.75,5.9,24.842,100.0,257.107,0.64,0.24,0.47,3.3,0.13,1.2,0.0,0.03,1.2,0.094,0.0,33.19
-83.561,1516.0,12.0,33,13.75,5.89,24.841,99.8,256.6714,0.59,0.22,0.47,3.3,0.13,1.2,0.0,0.03,0.76,0.103,0.0,33.189
-83.561,1516.0,12.0,41,13.76,5.86,24.843,99.3,255.3636,0.39,0.19,0.46,3.3,0.14,1.3,0.07,0.02,0.25,0.128,0.07,33.194
-83.561,1516.0,12.0,60,13.12,5.69,24.959,95.2,247.9274,0.16,0.11,0.61,4.3,0.16,3.5,0.0,0.01,0.02,0.186,0.0,33.176
-242.21,4210.0,10.0,0,15.28,5.76,24.413,100.6,251.1112,0.2,0.07,0.33,2.2,0.0,0.0,0.0,0.09,1.2,0.0,0.0,33.055
-242.21,4210.0,10.0,2,15.28,5.76,24.413,100.6,251.1112,0.2,0.07,0.33,2.2,0.0,0.0,0.0,0.09,1.2,0.007,0.0,33.055
-242.21,4210.0,10.0,18,15.28,5.77,24.412,100.8,251.5474,0.21,0.07,0.32,2.0,0.0,0.0,0.0,0.09,2.7,0.063,0.0,33.054
-242.21,4210.0,10.0,20,15.28,5.77,24.41,100.8,251.5479,0.21,0.07,0.32,2.0,0.0,0.0,0.0,0.09,2.7,0.07,0.0,33.05
-242.21,4210.0,10.0,30,15.28,5.77,24.411,100.8,251.5477,0.2,0.08,0.33,2.2,0.0,0.0,0.0,0.08,2.5,0.105,0.0,33.051
-242.21,4210.0,10.0,39,15.26,5.75,24.414,100.4,250.675,0.24,0.1,0.33,2.1,0.0,0.0,0.0,0.08,2.0,0.137,0.0,33.049
-242.21,4210.0,10.0,50,15.28,5.76,24.417,100.6,251.1102,0.3,0.13,0.32,2.0,0.0,0.0,0.0,0.05,1.8,0.176,0.0,33.059
-242.21,4210.0,10.0,58,15.3,5.73,24.419,100.1,249.8019,0.29,0.13,0.32,2.1,0.0,0.0,0.0,0.03,1.6,0.204,0.0,33.067
-242.21,4210.0,10.0,74,15.2,5.72,24.516,99.8,249.3423,0.17,0.1,0.36,2.5,0.11,0.2,0.0,0.02,0.48,0.259,0.0,33.164
-242.21,4210.0,10.0,75,15.19,5.73,24.519,100.0,249.7775,0.17,0.1,0.36,2.5,0.12,0.2,0.0,0.02,0.47,0.263,0.0,33.164
-242.21,4210.0,10.0,100,12.8,5.73,25.045,95.2,249.6493,0.09,0.12,0.49,3.8,0.12,2.1,0.0,0.04,0.13,0.343,0.0,33.205
-242.21,4210.0,10.0,107,12.5,5.63,25.117,93.0,245.2752,0.07,0.09,0.54,4.4,0.04,3.1,0.0,0.04,0.03,0.363,0.0,33.222
-50.613,1655.0,29.0,0,14.96,5.75,24.723,100.0,250.5994,0.5,0.16,0.39,3.3,0.04,0.5,0.07,0.05,9.1,0.0,0.07,33.368
-50.613,1655.0,29.0,3,14.96,5.75,24.724,100.0,250.5992,0.5,0.16,0.39,3.3,0.04,0.5,0.07,0.05,9.1,0.01,0.07,33.368
-50.613,1655.0,29.0,10,14.96,5.75,24.723,100.0,250.5994,0.5,0.17,0.39,3.3,0.04,0.4,0.05,0.05,5.4,0.032,0.05,33.367
-50.613,1655.0,29.0,12,14.97,5.75,24.722,100.0,250.5997,0.5,0.17,0.39,3.3,0.04,0.4,0.05,0.05,4.0,0.039,0.05,33.368
-50.613,1655.0,29.0,25,14.95,5.74,24.726,99.8,250.1629,0.51,0.18,0.4,3.3,0.04,0.5,0.0,0.05,1.2,0.08,0.0,33.367
-50.613,1655.0,29.0,30,14.89,5.73,24.736,99.5,249.7246,0.49,0.16,0.41,3.3,0.05,0.6,0.03,0.05,0.68,0.096,0.03,33.363
-50.613,1655.0,29.0,38,14.64,5.63,24.78,97.3,245.3559,0.41,0.16,0.46,3.5,0.06,1.4,0.0,0.04,0.25,0.122,0.0,33.351
-50.613,1655.0,29.0,50,13.8,5.34,24.926,90.7,232.6845,0.24,0.21,0.65,5.3,0.07,4.0,0.0,0.04,0.09,0.159,0.0,33.312
-50.613,1655.0,29.0,70,12.36,4.79,25.215,78.9,208.66,0.14,0.16,0.98,8.8,0.03,9.0,0.0,0.03,0.01,0.217,0.0,33.316
-91.293,1199.0,9.0,0,14.44,5.67,24.828,97.6,247.0875,0.65,0.34,0.48,3.8,0.07,1.4,0.0,0.05,2.6,0.0,0.0,33.36
-91.293,1199.0,9.0,2,14.44,5.67,24.828,97.6,247.0875,0.65,0.34,0.48,3.8,0.07,1.4,0.0,0.05,2.6,0.006,0.0,33.36
-91.293,1199.0,9.0,10,14.44,5.68,24.82,97.7,247.5252,0.66,0.31,0.47,3.8,0.07,1.4,0.01,0.06,6.9,0.031,0.01,33.348
-91.293,1199.0,9.0,17,14.44,5.7,24.829,98.1,248.3946,0.69,0.35,0.47,3.7,0.07,1.4,0.05,0.07,11.5,0.053,0.05,33.36
-91.293,1199.0,9.0,20,14.44,5.69,24.82,97.9,247.961,0.69,0.34,0.47,3.7,0.07,1.4,0.04,0.07,11.3,0.062,0.04,33.348
-91.293,1199.0,9.0,30,14.44,5.67,24.82,97.6,247.0894,0.65,0.32,0.47,3.7,0.07,1.4,0.02,0.07,10.8,0.094,0.02,33.348
-91.293,1199.0,9.0,36,14.44,5.67,24.828,97.6,247.0875,0.63,0.33,0.47,3.7,0.07,1.4,0.06,0.06,10.5,0.112,0.06,33.358
-91.293,1199.0,9.0,50,14.44,5.67,24.822,97.5,247.089,0.64,0.33,0.47,3.7,0.07,1.4,0.0,0.05,6.9,0.156,0.0,33.349
-91.293,1199.0,9.0,56,14.44,5.67,24.83,97.6,247.087,0.64,0.34,0.47,3.7,0.07,1.4,0.0,0.05,5.0,0.175,0.0,33.36
-91.293,1199.0,9.0,71,13.53,5.28,25.003,89.1,230.0528,0.28,0.22,0.69,5.9,0.08,4.9,0.05,0.04,1.0,0.22,0.05,33.339
-91.293,1199.0,9.0,75,12.83,5.15,25.117,85.7,224.3637,0.22,0.19,0.79,6.9,0.06,6.7,0.04,0.04,0.87,0.232,0.04,33.306
-91.293,1199.0,9.0,100,11.08,3.82,25.594,61.3,166.3438,0.02,0.05,1.47,16.2,0.02,17.3,0.0,0.02,0.06,0.297,0.0,33.497
-91.293,1199.0,9.0,101,10.96,3.76,25.66,60.2,163.7205,0.02,0.05,1.49,16.6,0.02,17.6,0.0,0.02,0.03,0.299,0.0,33.555
-230.562,4146.0,4.0,0,15.47,5.71,24.462,100.2,248.9195,0.25,0.12,0.34,2.0,0.0,0.0,0.0,0.04,0.69,0.0,0.0,33.173
-230.562,4146.0,4.0,2,15.47,5.71,24.462,100.2,248.9195,0.25,0.12,0.34,2.0,0.0,0.0,0.0,0.04,0.69,0.007,0.0,33.173
-230.562,4146.0,4.0,10,15.46,5.72,24.464,100.4,249.355,0.25,0.12,0.34,1.9,0.0,0.0,0.0,0.04,1.6,0.035,0.0,33.173
-230.562,4146.0,4.0,20,15.46,5.71,24.465,100.2,248.9188,0.26,0.12,0.34,1.9,0.0,0.0,0.0,0.05,3.0,0.069,0.0,33.173
-230.562,4146.0,4.0,26,15.46,5.7,24.463,100.0,248.4833,0.26,0.12,0.34,2.0,0.0,0.0,0.0,0.05,3.9,0.09,0.0,33.17
-230.562,4146.0,4.0,30,15.46,5.7,24.464,100.0,248.4831,0.26,0.12,0.34,2.0,0.0,0.0,0.0,0.05,3.8,0.104,0.0,33.172
-230.562,4146.0,4.0,50,15.46,5.71,24.465,100.2,248.9188,0.26,0.13,0.31,2.1,0.0,0.0,0.0,0.04,3.5,0.173,0.0,33.172
-230.562,4146.0,4.0,52,15.46,5.71,24.466,100.2,248.9186,0.26,0.13,0.32,2.1,0.0,0.0,0.0,0.04,3.5,0.18,0.0,33.173
-230.562,4146.0,4.0,75,15.4,5.72,24.48,100.2,249.3511,0.22,0.11,0.37,2.2,0.02,0.0,0.06,0.03,2.0,0.26,0.06,33.174
-230.562,4146.0,4.0,81,15.29,5.72,24.506,100.0,249.3447,0.19,0.11,0.38,2.3,0.07,0.1,0.07,0.03,1.5,0.281,0.07,33.176
-230.562,4146.0,4.0,100,13.43,5.76,24.934,97.0,250.9836,0.1,0.12,0.45,3.4,0.17,1.1,0.0,0.02,0.42,0.342,0.0,33.223
-230.562,4146.0,4.0,103,13.29,5.73,24.962,96.2,249.6696,0.09,0.11,0.46,3.5,0.1,1.4,0.0,0.02,0.28,0.351,0.0,33.223
-230.562,4146.0,4.0,125,10.88,5.5,25.296,87.6,239.5698,0.03,0.04,0.82,6.8,0.01,7.0,0.0,0.03,0.16,0.414,0.0,33.068
-230.562,4146.0,4.0,150,9.68,4.86,25.607,75.5,211.6284,0.01,0.02,1.33,14.8,0.0,15.5,0.0,0.05,0.02,0.478,0.0,33.206
-1.401,62.0,13.0,0,15.37,5.78,24.643,101.4,251.9266,0.77,0.32,0.4,3.1,0.08,0.3,0.57,0.07,13.1,0.0,0.57,33.38
-1.401,62.0,13.0,2,15.37,5.78,24.643,101.4,251.9266,0.77,0.32,0.4,3.1,0.08,0.3,0.57,0.07,13.1,0.007,0.57,33.38
-1.401,62.0,13.0,9,15.38,5.77,24.643,101.2,251.4907,0.81,0.3,0.38,2.9,0.07,0.2,0.48,0.1,13.4,0.03,0.48,33.382
-1.401,62.0,13.0,10,15.39,5.77,24.64,101.2,251.4915,0.81,0.3,0.38,2.9,0.07,0.2,0.48,0.1,12.9,0.033,0.48,33.381
-1.401,62.0,13.0,20,15.39,5.77,24.64,101.2,251.4915,0.76,0.34,0.38,3.0,0.07,0.2,0.51,0.07,6.5,0.066,0.51,33.381
-1.401,62.0,13.0,21,15.39,5.77,24.642,101.2,251.491,0.75,0.34,0.38,3.0,0.07,0.2,0.51,0.07,5.7,0.069,0.51,33.384
-1.401,62.0,13.0,30,15.39,5.75,24.643,100.9,250.619,0.73,0.34,0.38,2.8,0.07,0.2,0.51,0.08,2.2,0.099,0.51,33.384
-1.401,62.0,13.0,39,15.37,5.76,24.649,101.0,251.0534,0.7,0.32,0.37,2.8,0.08,0.2,0.57,0.07,0.8,0.128,0.57,33.386
-1.401,62.0,13.0,50,15.34,5.7,24.656,99.9,248.4365,0.57,0.31,0.41,3.3,0.11,0.5,0.73,0.07,0.31,0.165,0.73,33.386
-1.401,62.0,13.0,56,15.03,5.61,24.71,97.7,244.501,0.48,0.3,0.48,3.8,0.15,0.9,0.94,0.07,0.04,0.184,0.94,33.368
-100.441,1290.0,7.0,0,14.65,5.98,24.805,103.4,260.6026,0.48,0.15,0.36,2.8,0.01,0.1,0.0,0.08,17.5,0.0,0.0,33.387
-100.441,1290.0,7.0,2,14.65,5.98,24.805,103.4,260.6026,0.48,0.15,0.36,2.8,0.01,0.1,0.0,0.08,17.5,0.006,0.0,33.387
-100.441,1290.0,7.0,9,14.65,5.97,24.801,103.2,260.1678,0.47,0.15,0.35,2.6,0.01,0.1,0.0,0.06,10.8,0.028,0.0,33.382
-100.441,1290.0,7.0,10,14.66,5.96,24.803,103.0,259.7315,0.49,0.16,0.35,2.6,0.02,0.1,0.0,0.06,10.2,0.031,0.0,33.387
-100.441,1290.0,7.0,20,14.11,5.8,24.902,99.1,252.7344,0.7,0.3,0.45,3.5,0.12,1.3,0.0,0.04,6.1,0.062,0.0,33.365
-100.441,1290.0,7.0,21,14.08,5.77,24.908,98.6,251.4257,0.72,0.32,0.47,3.7,0.13,1.5,0.0,0.04,5.9,0.065,0.0,33.364
-100.441,1290.0,7.0,30,13.2,5.43,25.074,91.1,236.572,0.59,0.34,0.68,5.7,0.22,4.5,0.0,0.05,2.5,0.092,0.0,33.347
-100.441,1290.0,7.0,33,13.13,5.31,25.088,88.9,231.3407,0.52,0.34,0.75,6.4,0.23,5.6,0.0,0.05,1.6,0.101,0.0,33.347
